index,state,shap_value
364,Tamil Nadu,16643.692159937727
365,Telangana,17192.783372839185
366,Tripura,26956.02151342595
367,Uttar Pradesh,17756.86520708918
368,Uttarakhand,29081.159333510193
369,West Bengal,83619.40212335382
370,Andaman and Nicobar,-69379.7885395185
371,Andhra Pradesh,-211047.47955873248
372,Arunachal Pradesh,-209203.49003216217
373,Assam,-250860.06963741855
374,Bihar,210227.9412388714
375,Chandigarh,261716.60150915623
376,Chhattisgarh,197848.83904534142
377,Daman and Diu,90570.76315373037
378,Goa,85395.05154331656
379,Gujarat,-61295.30562351023
380,Haryana,-75050.62968509932
381,Himachal Pradesh,-131257.50083457373
382,Jammu and Kashmir,-64480.48186902792
383,Jharkhand,-93423.22214328956
384,Karnataka,20475.288245188694
385,Kerala,-81389.8721444401
386,Lakshadweep,-148521.13251245007
387,Madhya Pradesh,-151119.42900037198
388,Maharashtra,52192.633186311396
389,Manipur,-73158.90294479058
390,Meghalaya,-92698.31928237321
391,Mizoram,-70933.18351829381
392,NCT of Delhi,796504.7317536523
393,Nagaland,-115099.16923388901
394,Odisha,-89337.12298621767
395,Punjab,-137202.78538330272
396,Rajasthan,-46391.209068432945
397,Sikkim,-67222.77531685798
398,Tamil Nadu,161341.8537814392
399,Telangana,126128.73658000909
400,Tripura,42460.65479543011
401,Uttar Pradesh,-124598.76564607114
402,Uttarakhand,-3639.767057040436
403,West Bengal,354466.2093689446
404,Andaman and Nicobar,-40063.1503653961
405,Andhra Pradesh,-68577.17439809086
406,Arunachal Pradesh,-53767.25364082797
407,Assam,-61027.85002749354
408,Bihar,105581.8427521157
409,Chandigarh,117748.34153288833
410,Chhattisgarh,116319.96312807509
411,Daman and Diu,62346.66496335611
412,Goa,41468.21221233394
413,Gujarat,14142.211930610341
414,Haryana,-6458.043000491331
415,Himachal Pradesh,-22634.111444744536
416,Jammu and Kashmir,-20722.321534936193
417,Jharkhand,-25074.00014349113
418,Karnataka,-14844.02545437353
419,Kerala,-31303.6463623889
420,Lakshadweep,-33022.30925415254
421,Madhya Pradesh,-24716.047976010977
422,Maharashtra,4893.200939213437
423,Manipur,-15747.313684403176
424,Meghalaya,-25984.73578892855
425,Mizoram,-22316.3829692919
426,NCT of Delhi,110941.41056560831
427,Nagaland,-35587.10967733387
428,Odisha,-36953.147128557786
429,Punjab,-51665.491634615726
430,Rajasthan,-32120.472157325523
431,Sikkim,-24341.39985112566
432,Tamil Nadu,16647.25899153273
433,Telangana,17193.530497978416
434,Tripura,26952.88892699552
435,Uttar Pradesh,17754.9661334112
436,Uttarakhand,29079.866360812845
437,West Bengal,83629.14067650978
438,Andaman and Nicobar,-59431.55677385545
439,Andhra Pradesh,-58056.5906524245
440,Daman and Diu,62428.90843757144
441,Goa,42433.67817233707
442,Gujarat,85057.2664014325
443,Karnataka,-33415.76652144401
444,Kerala,-42480.09956863551
445,Lakshadweep,-23673.259111555843
446,Maharashtra,28300.098234566474
447,Odisha,-41739.69514635385
448,Puducherry,-47057.7178114582
449,Tamil Nadu,-7884.941028354087
450,West Bengal,56896.30985066136
451,Andaman and Nicobar,-147646.5366100006
452,Andhra Pradesh,-115840.38497964572
453,Daman and Diu,79201.74823152083
454,Goa,79983.64646109182
455,Gujarat,270388.8881120817
456,Karnataka,-102213.60596643305
457,Kerala,-183246.56603819592
458,Lakshadweep,-100752.06006491804
459,Maharashtra,13646.846866412687
460,Odisha,-121785.5636611742
461,Puducherry,-127323.94345691528
462,Tamil Nadu,7808.664874410519
463,West Bengal,134968.6759049421
464,Andaman and Nicobar,-59430.15244364445
465,Andhra Pradesh,-58076.76793687046
466,Daman and Diu,62425.022038913485
467,Goa,42428.92131610822
468,Gujarat,85049.32677577858
469,Karnataka,-33411.33111852905
470,Kerala,-42479.90797358294
471,Lakshadweep,-23673.33585727738
472,Maharashtra,28304.428158534076
473,Odisha,-41733.73698429747
474,Puducherry,-47058.67667466574
475,Tamil Nadu,-7883.29395391222
476,West Bengal,56902.1749459215
477,Andaman and Nicobar,-58442.280252224555
478,Andhra Pradesh,-44398.83654030349
479,Assam,-23884.26887392466
480,Bihar,94814.06957832839
481,Chandigarh,108723.4790461294
